"Figure 1: Most workers are in firms around the median productivity, however there are many workers in a long tail of highly productive businesses	",""
"Workforce by aGVA per worker of the workers’ business in 2019, 2019 constant prices, UK",""
"",""
"Notes",""
"Unit",""
"",""
"aGVA/worker","Workers"
"< -20","189198"
"-20 to -15","99218"
"-15 to -10","107743"
"-10 to -5","202747"
"-5 to 0","403714"
"0 to 5","1019104"
"5 to 10","1395148"
"10 to 15","1842107"
"15 to 20","2232361"
"20 to 25","2167388"
"25 to 30","2365462"
"30 to 35","1705175"
"35 to 40","1418556"
"40 to 45","1410150"
"45 to 50","963333"
"50 to 55","815551"
"55 to 60","650993"
"60 to 65","587793"
"65 to 70","507325"
"70 to 75","395516"
"75 to 80","342014"
"80 to 85","311247"
"85 to 90","278958"
"90 to 95","282158"
"95 to 100","195754"
"100 to 105","216708"
"105 to 110","142179"
"110 to 115","159168"
"115 to 120","155723"
"120 to 125","129054"
"125 to 130","155879"
"130 to 135","146719"
"135 to 140","91819"
"140 to 145","105187"
"145 to 150","74937"
">150","1417961"
