Date,Industry 1,Industry 2,Industry 3,Industry 4,Industry 5,Industry 6,Industry 7,Industry 8,Industry 9,Industry 10,Industry 11,Industry 12,Industry 13,Industry 14
1971,4.78,-1.95,1.65,6.10,0.04,3.39,1.96,10.10,3.36,1.80,-5.49,1.05,6.22,8.04
1972,-0.45,-17.41,2.88,9.89,4.07,-3.08,1.70,7.40,0.10,2.46,-4.65,1.33,5.73,6.50
1973,1.29,8.56,7.34,9.12,8.79,-3.46,-1.64,10.61,-1.99,5.06,-0.99,-0.26,6.76,7.56
1974,2.30,-12.18,-0.24,1.57,-7.60,-4.90,-10.33,-0.89,-7.39,-6.18,-3.50,-3.65,-3.19,-1.67
1975,-5.43,7.89,-0.88,2.72,-5.32,-1.78,-3.51,-0.92,-1.05,-0.84,5.85,1.73,-3.78,-2.75
1976,-7.50,-10.82,2.92,0.44,2.11,-0.14,3.78,4.43,2.29,4.12,-0.29,4.26,0.74,2.39
1977,11.55,-11.39,0.65,3.72,-0.03,1.13,-0.50,4.00,1.11,1.37,-3.13,4.28,-3.38,-1.25
1978,6.32,-2.00,1.00,4.93,2.37,6.12,6.03,3.34,5.88,1.93,0.95,0.45,-0.31,1.87
1979,-0.75,29.89,-1.15,5.15,-3.76,-0.95,0.27,5.15,0.10,3.31,2.60,-0.53,1.99,4.37
1980,9.25,-1.66,-4.40,1.89,-12.49,-4.68,-6.59,-2.88,-3.87,3.35,-4.08,-0.70,-3.51,-1.08
1981,3.22,7.83,0.86,6.50,-2.00,-4.46,1.17,4.70,-0.18,0.07,-0.01,-0.29,-1.60,0.80
1982,6.42,3.82,5.19,0.55,-3.22,10.92,4.08,2.19,0.09,2.94,-0.42,-2.99,4.39,6.57
1983,-5.39,1.54,6.46,3.45,-3.95,6.56,7.68,8.35,2.34,5.34,-0.12,2.42,6.81,8.26
1984,16.79,-6.39,4.11,-19.01,-6.56,1.54,0.80,0.24,-3.34,1.82,-3.80,-2.95,-1.24,0.52
1985,-3.72,9.61,0.92,24.35,10.72,-1.06,1.20,6.17,2.67,-0.08,-6.42,0.83,-0.21,1.63
1986,-0.47,1.79,2.42,19.00,8.26,5.03,4.05,4.27,2.77,-0.73,-1.19,0.99,-0.58,0.79
1987,-1.55,2.64,3.34,2.56,4.08,4.92,3.89,2.88,2.99,2.89,7.28,-6.10,-0.89,-0.56
1988,-0.04,-6.45,5.72,-0.01,3.00,0.24,2.13,1.99,0.13,-1.84,2.08,-13.32,2.03,3.66
1989,4.24,-10.70,2.46,0.11,-2.78,-4.98,-1.20,1.12,-6.91,-6.77,-6.02,-12.30,-6.85,-5.76
1990,3.60,-3.64,1.35,3.27,-1.72,-0.93,-3.35,-1.17,-4.20,-7.30,1.90,-10.39,-3.41,-2.90
1991,3.41,3.51,1.16,4.51,-5.81,-2.90,-1.85,-0.14,-7.11,-4.17,-1.56,-7.08,-1.94,-1.41
1992,5.81,4.77,2.63,-0.96,-3.75,1.82,3.59,0.70,-7.25,-1.11,-2.20,-6.18,-8.23,-6.86
1993,-8.98,11.48,3.54,3.53,-0.48,-1.52,7.09,3.36,3.04,-2.03,3.40,2.23,-0.54,-0.25
1994,-4.51,18.12,3.12,-3.94,-1.01,-4.14,1.82,3.73,-1.16,-1.89,-1.66,1.11,1.61,1.26
1995,-4.86,3.23,-1.10,7.37,-1.27,-1.66,-0.56,5.99,0.14,-1.11,-0.52,2.95,0.56,0.32
1996,-3.87,1.08,-0.91,11.05,-5.41,1.49,1.46,4.84,-6.02,-5.25,5.28,4.69,2.30,-1.12
1997,-0.89,13.77,1.80,5.13,-9.73,-1.18,-3.23,5.72,-6.24,-3.88,2.20,2.36,2.25,-3.21
1998,16.83,-6.03,2.54,15.69,-4.91,1.28,-5.60,4.36,-0.58,20.42,-1.98,-6.75,3.23,-6.40
1999,18.66,-3.03,7.53,23.22,-9.88,5.04,-4.67,1.46,2.39,14.69,-6.75,-5.02,1.80,-5.73
2000,13.06,-7.29,6.55,-8.92,-3.29,-2.33,3.53,1.99,-1.93,24.28,0.19,-6.47,1.71,-4.50
2001,5.60,-5.19,5.58,21.15,-3.00,-2.43,-3.53,-4.03,-3.45,4.76,-8.36,-5.48,-0.78,0.37
2002,22.89,-3.42,8.49,-12.89,-3.37,-1.06,-0.70,-7.67,1.41,9.27,9.52,0.64,1.40,-1.89
2003,-6.23,-6.33,6.88,16.93,-0.17,-4.89,-1.71,1.61,-0.43,15.38,5.47,4.51,1.18,-2.27
2004,-12.65,-3.29,4.51,-20.41,-9.11,-4.19,1.42,7.30,1.66,11.10,7.66,-5.22,4.18,-0.54
2005,9.05,-9.90,4.64,-20.44,-1.46,-1.55,4.39,-0.33,1.58,6.47,3.06,0.67,-3.09,-1.22
2006,-3.52,-12.28,8.05,5.70,-12.25,-1.72,5.24,2.77,-6.49,2.11,3.32,-2.95,3.26,0.15
