DATE,labprod
1950-01-01,0.7
1951-01-01,1.2
1952-01-01,8.7
1953-01-01,-1.4
1954-01-01,4.6
1955-01-01,-1.4
1956-01-01,4.3
1957-01-01,1.4
1958-01-01,7.0
1959-01-01,-1.3
1960-01-01,-5.2
1961-01-01,3.5
1962-01-01,3.0
1963-01-01,-0.3
1964-01-01,-3.8
1965-01-01,7.1
1966-01-01,2.5
1967-01-01,1.2
1968-01-01,-1.0
1969-01-01,-2.0
1970-01-01,-3.6
1971-01-01,-3.4
1972-01-01,3.4
1973-01-01,-2.5
1974-01-01,3.6
1975-01-01,0.4
1976-01-01,1.2
1977-01-01,-5.0
1978-01-01,2.6
1979-01-01,-0.5
1980-01-01,4.1
1981-01-01,-4.1
1982-01-01,3.4
1983-01-01,2.2
1984-01-01,0.4
1985-01-01,1.6
1986-01-01,-0.8
1987-01-01,4.0
1988-01-01,0.9
1989-01-01,0.0
1990-01-01,-4.1
1991-01-01,1.9
1992-01-01,2.4
1993-01-01,1.6
1994-01-01,4.3
1995-01-01,2.2
1996-01-01,0.4
1997-01-01,2.0
1998-01-01,3.1
1999-01-01,5.9
2000-01-01,4.0
2001-01-01,5.1
2002-01-01,-0.4
2003-01-01,3.8
2004-01-01,2.0
2005-01-01,0.4
2006-01-01,2.8
2007-01-01,3.3
2008-01-01,-1.1
2009-01-01,5.9
2010-01-01,1.1
2011-01-01,2.3
2012-01-01,-1.5
2013-01-01,3.1
2014-01-01,-2.1
2015-01-01,-2.2
2016-01-01,2.4
2017-01-01,1.8
2018-01-01,-0.7
2019-01-01,2.3
