DATE,NGDPNSAXDCUSQ
1950-01-01,83746.0
1951-01-01,93076.0
1952-01-01,99548.0
1953-01-01,101121.0
1954-01-01,103980.0
1955-01-01,114181.0
1956-01-01,120287.0
1957-01-01,124349.0
1958-01-01,130149.0
1959-01-01,136112.0
1960-01-01,139850.0
1961-01-01,149394.0
1962-01-01,158078.0
1963-01-01,168017.0
1964-01-01,180356.0
1965-01-01,199483.0
1966-01-01,217316.0
1967-01-01,228140.0
1968-01-01,251704.0
1969-01-01,268638.0
1970-01-01,282764.0
1971-01-01,308808.0
1972-01-01,341962.0
1973-01-01,382865.0
1974-01-01,413310.0
1975-01-01,455641.0
1976-01-01,500358.0
1977-01-01,557979.0
1978-01-01,637402.0
1979-01-01,701800.0
1980-01-01,767505.0
1981-01-01,845052.0
1982-01-01,874081.0
1983-01-01,971755.0
1984-01-01,1060096.0
1985-01-01,1141088.0
1986-01-01,1188288.0
1987-01-01,1282952.0
1988-01-01,1382783.0
1989-01-01,1471062.0
1990-01-01,1538100.0
1991-01-01,1601443.0
1992-01-01,1705290.0
1993-01-01,1793877.0
1994-01-01,1903763.0
1995-01-01,1984353.0
1996-01-01,2107553.0
1997-01-01,2237911.0
1998-01-01,2370698.0
1999-01-01,2525048.0
2000-01-01,2655679.0
2001-01-01,2711685.0
2002-01-01,2824686.0
2003-01-01,2994399.0
2004-01-01,3190521.0
2005-01-01,3389367.0
2006-01-01,3557633.0
2007-01-01,3740350.0
2008-01-01,3698360.0
2009-01-01,3734738.0
2010-01-01,3897315.0
2011-01-01,4014288.0
2012-01-01,4160201.0
2013-01-01,4351081.0
2014-01-01,4531052.0
2015-01-01,4654715.0
2016-01-01,4811649.0
2017-01-01,5050987.0
2018-01-01,5285745.0
2019-01-01,5511056.0
