DATE,ps
1950-01-01,5.7
1951-01-01,5.0
1952-01-01,5.1
1953-01-01,4.8
1954-01-01,5.2
1955-01-01,6.1
1956-01-01,5.6
1957-01-01,5.3
1958-01-01,4.8
1959-01-01,5.7
1960-01-01,5.5
1961-01-01,5.4
1962-01-01,6.1
1963-01-01,6.4
1964-01-01,6.8
1965-01-01,7.4
1966-01-01,7.3
1967-01-01,6.8
1968-01-01,6.3
1969-01-01,5.4
1970-01-01,4.5
1971-01-01,5.0
1972-01-01,5.4
1973-01-01,5.1
1974-01-01,4.0
1975-01-01,4.7
1976-01-01,5.3
1977-01-01,5.7
1978-01-01,5.9
1979-01-01,5.2
1980-01-01,4.0
1981-01-01,4.7
1982-01-01,4.4
1983-01-01,5.0
1984-01-01,5.5
1985-01-01,5.5
1986-01-01,4.3
1987-01-01,4.3
1988-01-01,4.5
1989-01-01,4.0
1990-01-01,3.7
1991-01-01,4.3
1992-01-01,4.2
1993-01-01,4.4
1994-01-01,5.2
1995-01-01,5.5
1996-01-01,5.9
1997-01-01,6.3
1998-01-01,5.3
1999-01-01,5.0
2000-01-01,3.9
2001-01-01,3.9
2002-01-01,5.4
2003-01-01,6.0
2004-01-01,6.7
2005-01-01,6.7
2006-01-01,7.0
2007-01-01,5.6
2008-01-01,4.4
2009-01-01,5.8
2010-01-01,7.2
2011-01-01,7.2
2012-01-01,7.6
2013-01-01,7.4
2014-01-01,7.3
2015-01-01,6.9
2016-01-01,6.6
2017-01-01,6.8
2018-01-01,7.2
2019-01-01,7.3
