DATE,RealGDP
01/01/1947,2182.681
01/04/1947,2176.892
01/07/1947,2172.432
01/10/1947,2206.452
01/01/1948,2239.682
01/04/1948,2276.69
01/07/1948,2289.77
01/10/1948,2292.364
01/01/1949,2260.807
01/04/1949,2253.128
01/07/1949,2276.424
01/10/1949,2257.352
01/01/1950,2346.104
01/04/1950,2417.682
01/07/1950,2511.127
01/10/1950,2559.214
01/01/1951,2593.967
01/04/1951,2638.898
01/07/1951,2693.259
01/10/1951,2699.156
01/01/1952,2727.954
01/04/1952,2733.8
01/07/1952,2753.517
01/10/1952,2843.941
01/01/1953,2896.811
01/04/1953,2919.206
01/07/1953,2902.785
01/10/1953,2858.845
01/01/1954,2845.192
01/04/1954,2848.305
01/07/1954,2880.482
01/10/1954,2936.852
01/01/1955,3020.746
01/04/1955,3069.91
01/07/1955,3111.379
01/10/1955,3130.068
01/01/1956,3117.922
01/04/1956,3143.694
01/07/1956,3140.874
01/10/1956,3192.57
01/01/1957,3213.011
01/04/1957,3205.97
01/07/1957,3237.386
01/10/1957,3203.894
01/01/1958,3120.724
01/04/1958,3141.224
01/07/1958,3213.884
01/10/1958,3289.032
01/01/1959,3352.129
01/04/1959,3427.667
01/07/1959,3430.057
01/10/1959,3439.832
01/01/1960,3517.181
01/04/1960,3498.246
01/07/1960,3515.385
01/10/1960,3470.278
01/01/1961,3493.703
01/04/1961,3553.021
01/07/1961,3621.252
01/10/1961,3692.289
01/01/1962,3758.147
01/04/1962,3792.149
01/07/1962,3838.776
01/10/1962,3851.421
01/01/1963,3893.482
01/04/1963,3937.183
01/07/1963,4023.755
01/10/1963,4050.147
01/01/1964,4135.553
01/04/1964,4180.592
01/07/1964,4245.918
01/10/1964,4259.046
01/01/1965,4362.111
01/04/1965,4417.225
01/07/1965,4515.427
01/10/1965,4619.458
01/01/1966,4731.888
01/04/1966,4748.046
01/07/1966,4788.254
01/10/1966,4827.537
01/01/1967,4870.299
01/04/1967,4873.287
01/07/1967,4919.392
01/10/1967,4956.477
01/01/1968,5057.553
01/04/1968,5142.033
01/07/1968,5181.859
01/10/1968,5202.212
01/01/1969,5283.597
01/04/1969,5299.625
01/07/1969,5334.6
01/10/1969,5308.556
01/01/1970,5300.652
01/04/1970,5308.164
01/07/1970,5357.077
01/10/1970,5299.672
01/01/1971,5443.619
01/04/1971,5473.059
01/07/1971,5518.072
01/10/1971,5531.032
01/01/1972,5632.649
01/04/1972,5760.47
