DATE,A053RC1Q027SBEA
1950-01-01,33.477
1950-04-01,39.923
1950-07-01,48.501
1950-10-01,53.221
1951-01-01,52.393
1951-04-01,44.593
1951-07-01,40.666
1951-10-01,43.868
1952-01-01,41.59
1952-04-01,39.667
1952-07-01,39.898
1952-10-01,43.972
1953-01-01,45.893
1953-04-01,46.034
1953-07-01,45.077
1953-10-01,35.591
1954-01-01,38.019
1954-04-01,39.141
1954-07-01,41.473
1954-10-01,44.539
1955-01-01,49.715
1955-04-01,50.444
1955-07-01,51.731
1955-10-01,53.871
1956-01-01,52.285
1956-04-01,53.542
1956-07-01,50.939
1956-10-01,53.735
1957-01-01,54.518
1957-04-01,52.239
1957-07-01,51.138
1957-10-01,46.878
1958-01-01,40.564
1958-04-01,41.276
1958-07-01,45.972
1958-10-01,52.306
1959-01-01,55.502
1959-04-01,60.398
1959-07-01,54.549
1959-10-01,53.368
1960-01-01,58.778
1960-04-01,54.428
1960-07-01,52.155
1960-10-01,50.05
1961-01-01,49.179
1961-04-01,52.095
1961-07-01,55.033
1961-10-01,59.311
1962-01-01,58.34
1962-04-01,58.026
1962-07-01,59.757
1962-10-01,60.694
1963-01-01,60.428
1963-04-01,64.064
1963-07-01,65.769
1963-10-01,67.404
1964-01-01,70.805
1964-04-01,70.797
1964-07-01,72.492
1964-10-01,71.69
1965-01-01,79.043
1965-04-01,81.806
1965-07-01,83.277
1965-10-01,88.313
1966-01-01,90.826
1966-04-01,91.204
1966-07-01,90.553
1966-10-01,88.953
1967-01-01,85.784
1967-04-01,85.602
1967-07-01,87.148
1967-10-01,91.881
1968-01-01,95.276
1968-04-01,97.59
1968-07-01,98.14
1968-10-01,100.619
1969-01-01,100.694
1969-04-01,97.803
1969-07-01,94.702
1969-10-01,93.411
1970-01-01,86.399
1970-04-01,86.35
1970-07-01,88.276
1970-10-01,84.026
1971-01-01,94.536
1971-04-01,97.736
1971-07-01,101.096
1971-10-01,103.715
1972-01-01,109.925
1972-04-01,111.285
1972-07-01,115.772
1972-10-01,126.556
1973-01-01,141.563
1973-04-01,145.069
1973-07-01,145.145
1973-10-01,152.745
1974-01-01,157.26
1974-04-01,162.207
1974-07-01,172.572
1974-10-01,154.068
1975-01-01,133.019
1975-04-01,140.826
1975-07-01,167.855
1975-10-01,177.391
1976-01-01,193.546
1976-04-01,195.931
1976-07-01,197.82
1976-10-01,197.559
1977-01-01,212.751
1977-04-01,227.171
1977-07-01,235.983
1977-10-01,238.067
1978-01-01,238.131
1978-04-01,270.75
1978-07-01,277.887
1978-10-01,294.871
1979-01-01,294.758
1979-04-01,303.309
1979-07-01,307.044
1979-10-01,300.4
1980-01-01,308.567
1980-04-01,259.369
1980-07-01,273.866
1980-10-01,287.493
1981-01-01,290.091
1981-04-01,269.173
1981-07-01,276.768
1981-10-01,264.071
1982-01-01,232.072
1982-04-01,236.016
1982-07-01,231.801
1982-10-01,221.016
1983-01-01,224.222
1983-04-01,258.631
1983-07-01,278.701
1983-10-01,286.539
1984-01-01,307.677
1984-04-01,307.55
1984-07-01,286.582
1984-10-01,288.699
1985-01-01,284.354
1985-04-01,283.403
1985-07-01,293.054
1985-10-01,292.145
1986-01-01,262.509
1986-04-01,259.631
1986-07-01,260.908
1986-10-01,278.491
1987-01-01,293.229
1987-04-01,335.736
1987-07-01,355.594
1987-10-01,357.921
1988-01-01,364.815
1988-04-01,386.624
1988-07-01,394.999
1988-10-01,414.138
1989-01-01,415.784
1989-04-01,396.129
1989-07-01,381.767
