DATE,CE16OV
1950-01-01,57704.666666666667
1950-04-01,58761.333333333333
1950-07-01,59457.666666666667
1950-10-01,59643.000000000000
1951-01-01,59899.333333333333
1951-04-01,59899.000000000000
1951-07-01,59954.333333333333
1951-10-01,60114.333333333333
1952-01-01,60276.666666666667
1952-04-01,60107.666666666667
1952-07-01,60094.000000000000
1952-10-01,60611.333333333333
1953-01-01,61831.333333333333
1953-04-01,61306.333333333333
1953-07-01,61151.333333333333
1953-10-01,60536.000000000000
1954-01-01,60291.000000000000
1954-04-01,59961.666666666667
1954-07-01,59926.000000000000
1954-10-01,60247.666666666667
1955-01-01,60814.666666666667
1955-04-01,61643.333333333333
1955-07-01,62753.333333333333
1955-10-01,63310.666666666667
1956-01-01,63560.666666666667
1956-04-01,63765.000000000000
1956-07-01,63950.333333333333
1956-10-01,63893.666666666667
1957-01-01,64097.666666666667
1957-04-01,64076.000000000000
1957-07-01,64206.666666666667
1957-10-01,63879.000000000000
1958-01-01,62949.666666666667
1958-04-01,62745.000000000000
1958-07-01,62979.333333333333
1958-10-01,63498.000000000000
1959-01-01,63939.666666666667
1959-04-01,64772.000000000000
1959-07-01,64875.000000000000
1959-10-01,64927.333333333333
1960-01-01,65213.333333333333
1960-04-01,66061.333333333333
1960-07-01,66023.666666666667
1960-10-01,65839.666666666667
1961-01-01,65738.000000000000
1961-04-01,65605.333333333333
1961-07-01,65667.000000000000
1961-10-01,65966.666666666667
1962-01-01,66379.666666666667
1962-04-01,66576.666666666667
1962-07-01,66881.000000000000
1962-10-01,66969.333333333333
1963-01-01,67149.000000000000
1963-04-01,67635.333333333333
1963-07-01,67995.666666666667
1963-10-01,68258.000000000000
1964-01-01,68613.666666666667
1964-04-01,69401.666666666667
1964-07-01,69480.000000000000
1964-10-01,69710.333333333333
1965-01-01,70187.666666666667
1965-04-01,70897.333333333333
1965-07-01,71369.333333333333
1965-10-01,71827.000000000000
1966-01-01,72173.333333333333
1966-04-01,72594.000000000000
1966-07-01,73088.000000000000
1966-10-01,73656.666666666667
1967-01-01,73572.000000000000
1967-04-01,74001.333333333333
1967-07-01,74713.666666666667
1967-10-01,75216.333333333333
1968-01-01,75102.666666666667
1968-04-01,75950.000000000000
1968-07-01,76100.666666666667
1968-10-01,76498.666666666667
1969-01-01,77166.333333333333
1969-04-01,77605.000000000000
1969-07-01,78153.000000000000
1969-10-01,78575.333333333333
1970-01-01,78780.333333333333
1970-04-01,78635.666666666667
1970-07-01,78616.000000000000
1970-10-01,78643.000000000000
1971-01-01,78717.333333333333
1971-04-01,78961.000000000000
1971-07-01,79511.000000000000
