DATE,COE
1950-01-01,147.004
1950-04-01,153.616
1950-07-01,162.303
1950-10-01,170.15
1951-01-01,178.566
1951-04-01,184.901
1951-07-01,187.854
1951-10-01,191.495
1952-01-01,196.097
1952-04-01,197.426
1952-07-01,201.503
1952-10-01,209.326
1953-01-01,213.123
1953-04-01,216.209
1953-07-01,216.523
1953-10-01,215.129
1954-01-01,213.112
1954-04-01,212.684
1954-07-01,213.224
1954-10-01,217.536
1955-01-01,221.895
1955-04-01,228.083
1955-07-01,233.91
1955-10-01,238.391
1956-01-01,242.828
1956-04-01,247.491
1956-07-01,250.42
1956-10-01,256.363
1957-01-01,260.222
1957-04-01,262.057
1957-07-01,264.724
1957-10-01,263.301
1958-01-01,259.767
1958-04-01,259.426
1958-07-01,267.228
1958-10-01,272.263
1959-01-01,279.746
1959-04-01,286.458
1959-07-01,286.926
1959-10-01,290.187
1960-01-01,298.735
1960-04-01,301.716
1960-07-01,302.573
1960-10-01,302.104
1961-01-01,303.112
1961-04-01,307.313
1961-07-01,312.32
1961-10-01,318.939
1962-01-01,325.482
1962-04-01,331.427
1962-07-01,334.241
1962-10-01,337.658
1963-01-01,342.654
1963-04-01,347.56
1963-07-01,352.644
1963-10-01,358.774
1964-01-01,365.175
1964-04-01,372.622
1964-07-01,380.011
1964-10-01,386.093
1965-01-01,392.93
1965-04-01,399.925
1965-07-01,408.34
1965-10-01,420.463
1966-01-01,433.109
1966-04-01,444.412
1966-07-01,455.669
1966-10-01,463.804
1967-01-01,470.007
1967-04-01,475.649
1967-07-01,485.272
1967-10-01,496.236
1968-01-01,510.872
1968-04-01,523.992
1968-07-01,537.821
1968-10-01,550.317
1969-01-01,562.766
1969-04-01,576.719
1969-07-01,593.435
1969-10-01,604.917
1970-01-01,614.953
1970-04-01,620.233
1970-07-01,628.194
1970-10-01,630.007
1971-01-01,647.901
1971-04-01,659.794
1971-07-01,670.109
1971-10-01,682.175
1972-01-01,708.353
1972-04-01,722.472
1972-07-01,735.743
1972-10-01,758.765
1973-01-01,785.41
1973-04-01,803.214
1973-07-01,820.407
1973-10-01,841.697
1974-01-01,858.334
1974-04-01,878.489
1974-07-01,900.196
1974-10-01,913.838
1975-01-01,918.38
1975-04-01,931.175
1975-07-01,955.99
1975-10-01,983.379
1976-01-01,1014.715
1976-04-01,1035.504
1976-07-01,1058.375
1976-10-01,1084.794
1977-01-01,1113.279
1977-04-01,1150.291
1977-07-01,1182.109
1977-10-01,1217.622
1978-01-01,1250.911
1978-04-01,1299.127
1978-07-01,1336.859
1978-10-01,1380.158
1979-01-01,1422.516
1979-04-01,1454.749
1979-07-01,1496.72
