DATE,TBSDODNS
1950-10-01,92.084
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,103.806
1952-01-01,105.429
1952-04-01,107.712
1952-07-01,110.118
1952-10-01,112.537
1953-01-01,114.297
1953-04-01,116.105
1953-07-01,117.753
1953-10-01,117.609
1954-01-01,119.137
1954-04-01,120.313
1954-07-01,122.482
1954-10-01,123.758
1955-01-01,125.485
1955-04-01,128.878
1955-07-01,131.806
1955-10-01,136.054
1956-01-01,139.224
1956-04-01,143.002
1956-07-01,146.133
1956-10-01,148.891
1957-01-01,151.977
1957-04-01,155.695
1957-07-01,158.446
1957-10-01,161.011
1958-01-01,163.419
1958-04-01,165.496
1958-07-01,168.233
1958-10-01,172.148
1959-01-01,174.823
1959-04-01,179.94
1959-07-01,183.281
1959-10-01,186.897
1960-01-01,190.624
1960-04-01,194.603
1960-07-01,197.129
1960-10-01,200.62
1961-01-01,203.01
1961-04-01,206.361
1961-07-01,209.878
1961-10-01,214.708
1962-01-01,217.941
1962-04-01,223.077
1962-07-01,227.388
1962-10-01,232.772
1963-01-01,236.663
1963-04-01,241.37
1963-07-01,245.714
1963-10-01,252.16
1964-01-01,256.246
1964-04-01,262.035
1964-07-01,267.791
1964-10-01,274.196
1965-01-01,281.387
1965-04-01,288.852
1965-07-01,296.185
1965-10-01,303.791
1966-01-01,313.353
1966-04-01,323.873
1966-07-01,331.875
1966-10-01,338.206
1967-01-01,346.567
1967-04-01,355.877
1967-07-01,364.082
1967-10-01,370.865
1968-01-01,380.965
1968-04-01,391.182
1968-07-01,401.548
1968-10-01,413.387
1969-01-01,424.567
1969-04-01,438.856
1969-07-01,451.41
1969-10-01,462.182
1970-01-01,475.164
1970-04-01,490.307
1970-07-01,502.77
1970-10-01,513.928
1971-01-01,525.351
1971-04-01,540.56
1971-07-01,554.738
1971-10-01,566.409
1972-01-01,582.869
1972-04-01,600.714
1972-07-01,617.329
1972-10-01,639.383
1973-01-01,665.674
1973-04-01,692.83
1973-07-01,718.2
1973-10-01,736.457
1974-01-01,761.378
1974-04-01,790.645
1974-07-01,814.076
1974-10-01,832.471
1975-01-01,843.284
1975-04-01,851.443
1975-07-01,859.902
1975-10-01,867.584
1976-01-01,880.679
1976-04-01,897.828
1976-07-01,916.964
1976-10-01,937.324
1977-01-01,965.753
1977-04-01,992.711
1977-07-01,1019.771
1977-10-01,1054.347
1978-01-01,1085.605
1978-04-01,1120.805
1978-07-01,1151.793
1978-10-01,1187.814
1979-01-01,1224.876
1979-04-01,1269.922
1979-07-01,1312.24
1979-10-01,1346.999
1980-01-01,1386.8
1980-04-01,1407.447
1980-07-01,1434.561
1980-10-01,1477.729
1981-01-01,1512.102
1981-04-01,1569.321
1981-07-01,1620.679
1981-10-01,1661.467
1982-01-01,1703.122
1982-04-01,1749.244
1982-07-01,1792.976
1982-10-01,1810.714
1983-01-01,1861.182
1983-04-01,1899.544
1983-07-01,1948.776
1983-10-01,1999.189
1984-01-01,2074.998
1984-04-01,2162.725
1984-07-01,2239.815
1984-10-01,2325.746
1985-01-01,2383.257
1985-04-01,2449.465
1985-07-01,2506.237
1985-10-01,2578.134
1986-01-01,2642.71
1986-04-01,2716.315
1986-07-01,2792.785
1986-10-01,2875.176
1987-01-01,2938.65
1987-04-01,2992.1
1987-07-01,3058.948
1987-10-01,3136.377
1988-01-01,3207.54
1988-04-01,3286.179
1988-07-01,3352.218
1988-10-01,3439.017
1989-01-01,3507.107
1989-04-01,3579.132
1989-07-01,3619.455
1989-10-01,3679.918
1990-01-01,3733.671
1990-04-01,3768.624
1990-07-01,3794.78
1990-10-01,3811.851
1991-01-01,3789.538
1991-04-01,3789.528
1991-07-01,3758.457
1991-10-01,3726.189
1992-01-01,3729.586
1992-04-01,3722.175
1992-07-01,3724.301
1992-10-01,3717.77
1993-01-01,3735.137
1993-04-01,3768.808
1993-07-01,3805.889
1993-10-01,3845.562
1994-01-01,3909.26
1994-04-01,3959.096
1994-07-01,4014.239
1994-10-01,4068.94
1995-01-01,4139.212
1995-04-01,4214.326
1995-07-01,4262.664
1995-10-01,4326.587
1996-01-01,4374.163
1996-04-01,4451.64
1996-07-01,4517.724
1996-10-01,4560.827
1997-01-01,4641.216
1997-04-01,4740.036
1997-07-01,4869.144
1997-10-01,4978.241
1998-01-01,5135.888
1998-04-01,5314.274
1998-07-01,5462.271
1998-10-01,5606.992
1999-01-01,5775.414
1999-04-01,5880.269
1999-07-01,6086.663
1999-10-01,6209.522
2000-01-01,6377.615
2000-04-01,6546.667
2000-07-01,6644.879
2000-10-01,6755.123
2001-01-01,6800.062
2001-04-01,6926.563
2001-07-01,6997.397
2001-10-01,7058.597
2002-01-01,7113.593
2002-04-01,7150.655
2002-07-01,7184.518
2002-10-01,7231.626
2003-01-01,7251.457
2003-04-01,7268.25
2003-07-01,7324.53
2003-10-01,7341.118
2004-01-01,7486.571
2004-04-01,7556.386
2004-07-01,7687.53
2004-10-01,7821.222
2005-01-01,7969.198
2005-04-01,8130.459
2005-07-01,8263.165
2005-10-01,8454.519
2006-01-01,8668.9
2006-04-01,8883.53
2006-07-01,9032.776
2006-10-01,9280.288
2007-01-01,9533.998
2007-04-01,9841.442
2007-07-01,10166.907
2007-10-01,10438.787
2008-01-01,10646.961
2008-04-01,10851.225
2008-07-01,10990.528
2008-10-01,11020.037
2009-01-01,10945.117
2009-04-01,10852.982
2009-07-01,10716.426
2009-10-01,10509.201
2010-01-01,10482.106
2010-04-01,10410.94
2010-07-01,10455.394
2010-10-01,10377.861
2011-01-01,10385.175
2011-04-01,10468.472
2011-07-01,10545.973
2011-10-01,10648.088
2012-01-01,10734.671
2012-04-01,10848.973
2012-07-01,11028.24
2012-10-01,11229.393
2013-01-01,11301.624
2013-04-01,11465.166
2013-07-01,11663.001
2013-10-01,11800.852
2014-01-01,11994.753
2014-04-01,12176.697
2014-07-01,12370.397
2014-10-01,12623.207
2015-01-01,12849.242
2015-04-01,13128.354
2015-07-01,13314.24
2015-10-01,13479.35
2016-01-01,13764.71
2016-04-01,13903.712
2016-07-01,14090.675
2016-10-01,14151.715
2017-01-01,14430.518
2017-04-01,14676.03
2017-07-01,14879.788
2017-10-01,15162.557
2018-01-01,15327.151
2018-04-01,15777.367
2018-07-01,15969.667
2018-10-01,16151.004
2019-01-01,16394.21
2019-04-01,16543.601
2019-07-01,16766.314
2019-10-01,16846.834
